model,sensor,site_id,band,sd_train,p09,truth,model_value,model_move,truth_move,persistence_move,last3_mean_move,own_mean_move,linear9_move,linear4_move,holt_damped_move,nearest_rule,nearest_dist,direction_ok,direction_ok_persistence,direction_ok_last3_mean,direction_ok_own_mean,direction_ok_linear9,direction_ok_linear4,direction_ok_holt_damped
ensemble,sentinel1,treatment_0017,VV,0.48718339169507496,-7.091177973644354,-7.41302186777581,-7.175000000000001,-0.17205435937379152,-0.6606216460123017,0.0,-0.24243931394365742,-0.6631847631160529,-0.08314721999208148,-0.1940552713521418,-0.6276151228710388,linear4,0.022000911978350274,1,0,1,1,1,1,1
Kimi-K3-thinking-low,sentinel1,treatment_0017,VH,0.8617840777135891,-13.487003284486503,-13.999284397327552,-13.62,-0.1543271904794891,-0.594442536232728,0.0,-0.14899918985736585,0.26322136303384797,-0.14117908516972735,-0.6800147175206136,-0.1243282111423027,last3_mean,0.005328000622123241,1,0,1,0,1,1,1
gpt-oss-120b,sentinel1,treatment_0017,VH,0.8617840777135891,-13.487003284486503,-13.999284397327552,-13.55,-0.07310034745667943,-0.594442536232728,0.0,-0.14899918985736585,0.26322136303384797,-0.14117908516972735,-0.6800147175206136,-0.1243282111423027,holt_damped,0.05122786368562328,1,0,1,0,1,1,1
gpt-oss-120b (default effort),sentinel1,treatment_0017,VH,0.8617840777135891,-13.487003284486503,-13.999284397327552,-13.45,0.04293799971876707,-0.594442536232728,0.0,-0.14899918985736585,0.26322136303384797,-0.14117908516972735,-0.6800147175206136,-0.1243282111423027,persistence,0.04293799971876707,0,0,1,0,1,1,1
ensemble,sentinel1,treatment_0017,VH,0.8617840777135891,-13.487003284486503,-13.999284397327552,-13.585,-0.1137137689680853,-0.594442536232728,0.0,-0.14899918985736585,0.26322136303384797,-0.14117908516972735,-0.6800147175206136,-0.1243282111423027,holt_damped,0.010614442174217406,1,0,1,0,1,1,1
Kimi-K3-thinking-low,sentinel1,treatment_0017,VV-VH,0.5630282875820298,6.416943114053696,6.586262528743946,6.42,0.00542936476501361,0.3007298539428733,0.0,0.0024231301515285305,-1.0077297272796273,0.13783487936441238,0.8638843931292575,-0.009674319993437467,last3_mean,0.003006234613485079,1,0,1,0,1,1,0
gpt-oss-120b,sentinel1,treatment_0017,VV-VH,0.5630282875820298,6.416943114053696,6.586262528743946,6.4,-0.030092829130236625,0.3007298539428733,0.0,0.0024231301515285305,-1.0077297272796273,0.13783487936441238,0.8638843931292575,-0.009674319993437467,holt_damped,0.020418509136799157,0,0,1,0,1,1,0
gpt-oss-120b (default effort),sentinel1,treatment_0017,VV-VH,0.5630282875820298,6.416943114053696,6.586262528743946,6.35,-0.11889831386836537,0.3007298539428733,0.0,0.0024231301515285305,-1.0077297272796273,0.13783487936441238,0.8638843931292575,-0.009674319993437467,holt_damped,0.1092239938749279,0,0,1,0,1,1,0
ensemble,sentinel1,treatment_0017,VV-VH,0.5630282875820298,6.416943114053696,6.586262528743946,6.41,-0.012331732182611507,0.3007298539428733,0.0,0.0024231301515285305,-1.0077297272796273,0.13783487936441238,0.8638843931292575,-0.009674319993437467,holt_damped,0.0026574121891740406,0,0,1,0,1,1,0
Kimi-K3-thinking-low,sentinel1,treatment_0018,VV,0.45000366488538496,-8.752698344634299,-9.099289575050657,-8.85,-0.21622413984224698,-0.7701964616324496,0.0,-0.29965809595654924,-0.5621503065605166,-0.26159042679974487,-0.2868589470899079,-0.5083892321902101,linear9,0.04536628695749789,1,0,1,1,1,1,1
gpt-oss-120b,sentinel1,treatment_0018,VV,0.45000366488538496,-8.752698344634299,-9.099289575050657,-8.89,-0.3051123048090564,-0.7701964616324496,0.0,-0.29965809595654924,-0.5621503065605166,-0.26159042679974487,-0.2868589470899079,-0.5083892321902101,last3_mean,0.005454208852507136,1,0,1,1,1,1,1
gpt-oss-120b (default effort),sentinel1,treatment_0018,VV,0.45000366488538496,-8.752698344634299,-9.099289575050657,-8.86,-0.23844618108394836,-0.7701964616324496,0.0,-0.29965809595654924,-0.5621503065605166,-0.26159042679974487,-0.2868589470899079,-0.5083892321902101,linear9,0.023144245715796513,1,0,1,1,1,1,1
ensemble,sentinel1,treatment_0018,VV,0.45000366488538496,-8.752698344634299,-9.099289575050657,-8.870000000000001,-0.2606682223256537,-0.7701964616324496,0.0,-0.29965809595654924,-0.5621503065605166,-0.26159042679974487,-0.2868589470899079,-0.5083892321902101,linear9,0.0009222044740911928,1,0,1,1,1,1,1
Kimi-K3-thinking-low,sentinel1,treatment_0018,VH,0.8612873915638681,-15.309460733722394,-15.696193304193708,-15.4,-0.10512085415904061,-0.44901687202120766,0.0,-0.11048396597096032,0.4252771067283687,-0.12725893678195757,-0.8042984978299011,-0.09529677453341882,last3_mean,0.005363111811919702,1,0,1,0,1,1,1
gpt-oss-120b,sentinel1,treatment_0018,VH,0.8612873915638681,-15.309460733722394,-15.696193304193708,-15.4,-0.10512085415904061,-0.44901687202120766,0.0,-0.11048396597096032,0.4252771067283687,-0.12725893678195757,-0.8042984978299011,-0.09529677453341882,last3_mean,0.005363111811919702,1,0,1,0,1,1,1
gpt-oss-120b (default effort),sentinel1,treatment_0018,VH,0.8612873915638681,-15.309460733722394,-15.696193304193708,-15.38,-0.08189980135379182,-0.44901687202120766,0.0,-0.11048396597096032,0.4252771067283687,-0.12725893678195757,-0.8042984978299011,-0.09529677453341882,holt_damped,0.013396973179627,1,0,1,0,1,1,1
ensemble,sentinel1,treatment_0018,VH,0.8612873915638681,-15.309460733722394,-15.696193304193708,-15.4,-0.10512085415904061,-0.44901687202120766,0.0,-0.11048396597096032,0.4252771067283687,-0.12725893678195757,-0.8042984978299011,-0.09529677453341882,last3_mean,0.005363111811919702,1,0,1,0,1,1,1
Kimi-K3-thinking-low,sentinel1,treatment_0018,VV-VH,0.5663358266818174,6.578233340028151,6.596903733284657,6.55,-0.049852646959617185,0.032967000102918254,0.0,-0.08876322695764488,-1.1184701697815114,-0.02600397213695016,0.9772796022936882,-0.04338792922487572,holt_damped,0.006464717734741464,0,0,0,0,0,1,0
gpt-oss-120b,sentinel1,treatment_0018,VV-VH,0.5663358266818174,6.578233340028151,6.596903733284657,6.53,-0.08516738259479732,0.032967000102918254,0.0,-0.08876322695764488,-1.1184701697815114,-0.02600397213695016,0.9772796022936882,-0.04338792922487572,last3_mean,0.0035958443628475584,0,0,0,0,0,1,0
gpt-oss-120b (default effort),sentinel1,treatment_0018,VV-VH,0.5663358266818174,6.578233340028151,6.596903733284657,6.52,-0.10282475041238895,0.032967000102918254,0.0,-0.08876322695764488,-1.1184701697815114,-0.02600397213695016,0.9772796022936882,-0.04338792922487572,last3_mean,0.014061523454744068,0,0,0,0,0,1,0
ensemble,sentinel1,treatment_0018,VV-VH,0.5663358266818174,6.578233340028151,6.596903733284657,6.54,-0.06751001477720725,0.032967000102918254,0.0,-0.08876322695764488,-1.1184701697815114,-0.02600397213695016,0.9772796022936882,-0.04338792922487572,last3_mean,0.02125321218043763,0,0,0,0,0,1,0
Kimi-K3-thinking-low,sentinel1,treatment_0019,VV,0.4593668121377165,-8.022602669849046,-8.519300654657611,-8.1,-0.16848698710029958,-1.0812665862758417,0.0,-0.28928938291154527,-0.7649581302563455,-0.22443256367456005,-0.21812885504476143,-0.4560695016058159,linear4,0.04964186794446185,1,0,1,1,1,1,1
gpt-oss-120b,sentinel1,treatment_0019,VV,0.4593668121377165,-8.022602669849046,-8.519300654657611,-8.08,-0.12494879611317261,-1.0812665862758417,0.0,-0.28928938291154527,-0.7649581302563455,-0.22443256367456005,-0.21812885504476143,-0.4560695016058159,linear4,0.09318005893158882,1,0,1,1,1,1,1
gpt-oss-120b (default effort),sentinel1,treatment_0019,VV,0.4593668121377165,-8.022602669849046,-8.519300654657611,-8.15,-0.27733246456812083,-1.0812665862758417,0.0,-0.28928938291154527,-0.7649581302563455,-0.22443256367456005,-0.21812885504476143,-0.4560695016058159,last3_mean,0.011956918343424439,1,0,1,1,1,1,1
ensemble,sentinel1,treatment_0019,VV,0.4593668121377165,-8.022602669849046,-8.519300654657611,-8.09,-0.1467178916067361,-1.0812665862758417,0.0,-0.28928938291154527,-0.7649581302563455,-0.22443256367456005,-0.21812885504476143,-0.4560695016058159,linear4,0.07141096343802533,1,0,1,1,1,1,1
Kimi-K3-thinking-low,sentinel1,treatment_0019,VH,0.8794478458521687,-14.644702198014354,-15.112782012994424,-14.7,-0.06287786393070624,-0.5322428353059524,0.0,-0.007852192672057622,0.6451803500960851,-0.019647573258200463,-0.9341604099437795,-0.05867560329711725,holt_damped,0.004202260633588993,1,0,1,0,1,1,1
gpt-oss-120b,sentinel1,treatment_0019,VH,0.8794478458521687,-14.644702198014354,-15.112782012994424,-14.7,-0.06287786393070624,-0.5322428353059524,0.0,-0.007852192672057622,0.6451803500960851,-0.019647573258200463,-0.9341604099437795,-0.05867560329711725,holt_damped,0.004202260633588993,1,0,1,0,1,1,1
gpt-oss-120b (default effort),sentinel1,treatment_0019,VH,0.8794478458521687,-14.644702198014354,-15.112782012994424,-14.65,-0.006024009281088149,-0.5322428353059524,0.0,-0.007852192672057622,0.6451803500960851,-0.019647573258200463,-0.9341604099437795,-0.05867560329711725,last3_mean,0.0018281833909694735,1,0,1,0,1,1,1
ensemble,sentinel1,treatment_0019,VH,0.8794478458521687,-14.644702198014354,-15.112782012994424,-14.7,-0.06287786393070624,-0.5322428353059524,0.0,-0.007852192672057622,0.6451803500960851,-0.019647573258200463,-0.9341604099437795,-0.05867560329711725,holt_damped,0.004202260633588993,1,0,1,0,1,1,1
Kimi-K3-thinking-low,sentinel1,treatment_0019,VV-VH,0.6895333315349377,6.604661826414987,6.593481357279226,6.6,-0.006760842734911897,-0.016214544858727215,0.0,-0.15550839691388005,-1.29336949590526,-0.10060217066869079,1.0196060416603936,-0.011447753176292081,holt_damped,0.004686910441380184,1,0,1,1,1,0,1
gpt-oss-120b,sentinel1,treatment_0019,VV-VH,0.6895333315349377,6.604661826414987,6.593481357279226,6.66,0.08025453020788309,-0.016214544858727215,0.0,-0.15550839691388005,-1.29336949590526,-0.10060217066869079,1.0196060416603936,-0.011447753176292081,persistence,0.08025453020788309,0,0,1,1,1,0,1
gpt-oss-120b (default effort),sentinel1,treatment_0019,VV-VH,0.6895333315349377,6.604661826414987,6.593481357279226,6.5,-0.15178646430623516,-0.016214544858727215,0.0,-0.15550839691388005,-1.29336949590526,-0.10060217066869079,1.0196060416603936,-0.011447753176292081,last3_mean,0.00372193260764489,1,0,1,1,1,0,1
ensemble,sentinel1,treatment_0019,VV-VH,0.6895333315349377,6.604661826414987,6.593481357279226,6.63,0.036746843736485596,-0.016214544858727215,0.0,-0.15550839691388005,-1.29336949590526,-0.10060217066869079,1.0196060416603936,-0.011447753176292081,persistence,0.036746843736485596,0,0,1,1,1,0,1
Kimi-K3-thinking-low,sentinel1,treatment_0020,VV,0.41165834935571444,-8.450895773713778,-8.707591108951501,-8.54,-0.21645188643854193,-0.623564020113951,0.0,-0.22276274016152475,-0.7046542899387981,-0.04088960670076143,-0.2377552735288042,-0.6196812871196408,last3_mean,0.006310853722982818,1,0,1,1,1,1,1
gpt-oss-120b,sentinel1,treatment_0020,VV,0.41165834935571444,-8.450895773713778,-8.707591108951501,-8.55,-0.24074387520945484,-0.623564020113951,0.0,-0.22276274016152475,-0.7046542899387981,-0.04088960670076143,-0.2377552735288042,-0.6196812871196408,linear4,0.0029886016806506266,1,0,1,1,1,1,1
gpt-oss-120b (default effort),sentinel1,treatment_0020,VV,0.41165834935571444,-8.450895773713778,-8.707591108951501,-8.55,-0.24074387520945484,-0.623564020113951,0.0,-0.22276274016152475,-0.7046542899387981,-0.04088960670076143,-0.2377552735288042,-0.6196812871196408,linear4,0.0029886016806506266,1,0,1,1,1,1,1
ensemble,sentinel1,treatment_0020,VV,0.41165834935571444,-8.450895773713778,-8.707591108951501,-8.545,-0.2285978808239984,-0.623564020113951,0.0,-0.22276274016152475,-0.7046542899387981,-0.04088960670076143,-0.2377552735288042,-0.6196812871196408,last3_mean,0.005835140662473648,1,0,1,1,1,1,1
Kimi-K3-thinking-low,sentinel1,treatment_0020,VH,0.7797554319205781,-14.90537284358017,-15.159073171446389,-14.98,-0.09570585002020537,-0.32535884648003377,0.0,-0.09764189432443628,0.24786832324862001,-0.08454188843468885,-0.6949343354727787,-0.0809445821415587,last3_mean,0.0019360443042309022,1,0,1,0,1,1,1
gpt-oss-120b,sentinel1,treatment_0020,VH,0.7797554319205781,-14.90537284358017,-15.159073171446389,-15.0,-0.12135491789619124,-0.32535884648003377,0.0,-0.09764189432443628,0.24786832324862001,-0.08454188843468885,-0.6949343354727787,-0.0809445821415587,last3_mean,0.023713023571754963,1,0,1,0,1,1,1
gpt-oss-120b (default effort),sentinel1,treatment_0020,VH,0.7797554319205781,-14.90537284358017,-15.159073171446389,-15.0,-0.12135491789619124,-0.32535884648003377,0.0,-0.09764189432443628,0.24786832324862001,-0.08454188843468885,-0.6949343354727787,-0.0809445821415587,last3_mean,0.023713023571754963,1,0,1,0,1,1,1
ensemble,sentinel1,treatment_0020,VH,0.7797554319205781,-14.90537284358017,-15.159073171446389,-14.99,-0.1085303839581983,-0.32535884648003377,0.0,-0.09764189432443628,0.24786832324862001,-0.08454188843468885,-0.6949343354727787,-0.0809445821415587,last3_mean,0.01088848963376203,1,0,1,0,1,1,1
Kimi-K3-thinking-low,sentinel1,treatment_0020,VV-VH,0.5214618653280553,6.462446300225556,6.451482069575896,6.44,-0.04304495058605065,-0.021025949122402278,0.0,-0.03602743532890592,-0.9346332417481782,0.09414577720730284,0.8352256515917721,0.09254008785667428,last3_mean,0.007017515257144731,1,0,1,1,0,0,0
gpt-oss-120b,sentinel1,treatment_0020,VV-VH,0.5214618653280553,6.462446300225556,6.451482069575896,6.45,-0.023868092861835825,-0.021025949122402278,0.0,-0.03602743532890592,-0.9346332417481782,0.09414577720730284,0.8352256515917721,0.09254008785667428,last3_mean,0.012159342467070094,1,0,1,1,0,0,0
gpt-oss-120b (default effort),sentinel1,treatment_0020,VV-VH,0.5214618653280553,6.462446300225556,6.451482069575896,6.44,-0.04304495058605065,-0.021025949122402278,0.0,-0.03602743532890592,-0.9346332417481782,0.09414577720730284,0.8352256515917721,0.09254008785667428,last3_mean,0.007017515257144731,1,0,1,1,0,0,0
ensemble,sentinel1,treatment_0020,VV-VH,0.5214618653280553,6.462446300225556,6.451482069575896,6.445,-0.033456521723943235,-0.021025949122402278,0.0,-0.03602743532890592,-0.9346332417481782,0.09414577720730284,0.8352256515917721,0.09254008785667428,last3_mean,0.002570913604962685,1,0,1,1,0,0,0
Kimi-K3-thinking-low,sentinel1,treatment_0021,VV,0.4963211133127286,-10.045056678654923,-10.395469869565597,-9.9,0.2922637678794928,-0.7060211252586399,0.0,-0.38337860740105456,-1.1031595306151631,-0.32922439422880545,0.39092353001173796,0.23613335271287475,holt_damped,0.05613041516661807,0,0,1,1,1,0,0
gpt-oss-120b,sentinel1,treatment_0021,VV,0.4963211133127286,-10.045056678654923,-10.395469869565597,-10.24,-0.39277660392868396,-0.7060211252586399,0.0,-0.38337860740105456,-1.1031595306151631,-0.32922439422880545,0.39092353001173796,0.23613335271287475,last3_mean,0.009397996527629404,1,0,1,1,1,0,0
gpt-oss-120b (default effort),sentinel1,treatment_0021,VV,0.4963211133127286,-10.045056678654923,-10.395469869565597,-9.87,0.35270850656845193,-0.7060211252586399,0.0,-0.38337860740105456,-1.1031595306151631,-0.32922439422880545,0.39092353001173796,0.23613335271287475,linear4,0.038215023443286034,0,0,1,1,1,0,0
ensemble,sentinel1,treatment_0021,VV,0.4963211133127286,-10.045056678654923,-10.395469869565597,-10.07,-0.050256418024595566,-0.7060211252586399,0.0,-0.38337860740105456,-1.1031595306151631,-0.32922439422880545,0.39092353001173796,0.23613335271287475,persistence,0.050256418024595566,1,0,1,1,1,0,0
Kimi-K3-thinking-low,sentinel1,treatment_0021,VH,0.8202119082227133,-15.546700048956168,-16.14625102367463,-15.45,0.11789642162804594,-0.7309708243783074,0.0,-0.35224579096888564,-0.6676577885264035,-0.30033046069426805,-0.06919145247497949,-0.3850736442478022,persistence,0.11789642162804594,0,0,1,1,1,1,1
gpt-oss-120b,sentinel1,treatment_0021,VH,0.8202119082227133,-15.546700048956168,-16.14625102367463,-15.84,-0.35759045693371144,-0.7309708243783074,0.0,-0.35224579096888564,-0.6676577885264035,-0.30033046069426805,-0.06919145247497949,-0.3850736442478022,last3_mean,0.005344665964825801,1,0,1,1,1,1,1
gpt-oss-120b (default effort),sentinel1,treatment_0021,VH,0.8202119082227133,-15.546700048956168,-16.14625102367463,-15.28,0.3251599327959911,-0.7309708243783074,0.0,-0.35224579096888564,-0.6676577885264035,-0.30033046069426805,-0.06919145247497949,-0.3850736442478022,persistence,0.3251599327959911,0,0,1,1,1,1,1
ensemble,sentinel1,treatment_0021,VH,0.8202119082227133,-15.546700048956168,-16.14625102367463,-15.645,-0.11984701765283276,-0.7309708243783074,0.0,-0.35224579096888564,-0.6676577885264035,-0.30033046069426805,-0.06919145247497949,-0.3850736442478022,linear4,0.05065556517785327,1,0,1,1,1,1,1
Kimi-K3-thinking-low,sentinel1,treatment_0021,VV-VH,0.40255540597999895,5.492040542848777,5.750781150810649,5.55,0.14397883195761305,0.6427453317437947,0.0,0.26628598397757763,0.02543948093579193,0.20772964304700695,0.6428324172837219,0.3782292520844686,linear9,0.0637508110893939,1,0,1,1,1,1,1
gpt-oss-120b,sentinel1,treatment_0021,VV-VH,0.40255540597999895,5.492040542848777,5.750781150810649,5.6,0.2681853368442574,0.6427453317437947,0.0,0.26628598397757763,0.02543948093579193,0.20772964304700695,0.6428324172837219,0.3782292520844686,last3_mean,0.0018993528666797488,1,0,1,1,1,1,1
gpt-oss-120b (default effort),sentinel1,treatment_0021,VV-VH,0.40255540597999895,5.492040542848777,5.750781150810649,5.39,-0.25348198367965047,0.6427453317437947,0.0,0.26628598397757763,0.02543948093579193,0.20772964304700695,0.6428324172837219,0.3782292520844686,persistence,0.25348198367965047,0,0,1,1,1,1,1
ensemble,sentinel1,treatment_0021,VV-VH,0.40255540597999895,5.492040542848777,5.750781150810649,5.574999999999999,0.20608208440093412,0.6427453317437947,0.0,0.26628598397757763,0.02543948093579193,0.20772964304700695,0.6428324172837219,0.3782292520844686,linear9,0.0016475586460728275,1,0,1,1,1,1,1
Kimi-K3-thinking-low,sentinel1,treatment_0022,VV,0.4953453019812455,-9.814887103818466,-10.169851529874029,-9.9,-0.17182538290179916,-0.7165999649856427,0.0,-0.4522639665763749,-1.1677167239057749,-0.33169333978470816,0.2494907446268119,0.06009531286942207,linear9,0.159867956882909,1,0,1,1,1,0,0
gpt-oss-120b,sentinel1,treatment_0022,VV,0.4953453019812455,-9.814887103818466,-10.169851529874029,-9.7,0.23193336720657143,-0.7165999649856427,0.0,-0.4522639665763749,-1.1677167239057749,-0.33169333978470816,0.2494907446268119,0.06009531286942207,linear4,0.017557377420240466,0,0,1,1,1,0,0
