treatment_site_id,sensor,band,band_label,band_description,number_of_controls,treatment_before_mean,treatment_after_mean,treatment_change_mean,mean_control_before_mean,mean_control_after_mean,mean_control_change_mean,mean_adjusted_effect,median_control_before_mean,median_control_after_mean,median_control_change_mean,median_adjusted_effect,treatment_before_valid_fraction,treatment_after_valid_fraction,mean_control_before_valid_fraction,mean_control_after_valid_fraction
treatment_0001,sentinel2,emb_011,Embedding dimension 11,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,-0.2328123897314071,-0.30630624294281,-0.0734938532114029,-0.0949679687619209,-0.1491491496562957,-0.0541811808943748,-0.019312672317028,-0.1373436599969864,-0.1578713059425354,-0.020527645945549,-0.0529662072658538,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_012,Embedding dimension 12,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,-0.1859625577926635,-0.0690455958247184,0.1169169619679451,-0.2149666994810104,-0.0458673015236854,0.1690993905067443,-0.0521824285387992,-0.2407884001731872,-0.0532799921929836,0.1875084042549133,-0.0705914422869682,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_013,Embedding dimension 13,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.6705367565155029,0.6562708616256714,-0.0142658948898315,0.657073438167572,0.6670507192611694,0.0099772810935974,-0.0242431759834289,0.6848746538162231,0.6715999245643616,-0.0132747292518615,-0.0009911656379699,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_014,Embedding dimension 14,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.2976806759834289,0.4503494501113891,0.1526687741279602,0.2198495417833328,0.4135643541812897,0.1937148123979568,-0.0410460382699966,0.2238613665103912,0.4396586418151855,0.2157972753047943,-0.0631285011768341,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_015,Embedding dimension 15,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,-0.2231221795082092,-0.3252095580101013,-0.102087378501892,-0.2314186990261078,-0.2983750104904175,-0.0669563114643096,-0.0351310670375824,-0.2249039709568023,-0.2959103584289551,-0.0710063874721527,-0.0310809910297393,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_016,Embedding dimension 16,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,-0.1281685680150985,-0.0456580929458141,0.0825104713439941,-5.011558459955268e-05,-0.0349057279527187,-0.0348556116223335,0.1173660829663276,-0.0129379369318485,-0.0507428236305713,-0.0378048866987228,0.1203153580427169,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_017,Embedding dimension 17,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.6136510968208313,0.5776122808456421,-0.0360388159751892,0.646442174911499,0.5954055786132812,-0.0510365962982177,0.0149977803230285,0.628068208694458,0.6093735694885254,-0.0186946392059326,-0.0173441767692565,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_018,Embedding dimension 18,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.3462523519992828,0.503749430179596,0.1574970781803131,0.2577652037143707,0.3774140775203705,0.1196488738059997,0.0378482043743133,0.2333800345659256,0.3699531555175781,0.1365731209516525,0.0209239572286605,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_019,Embedding dimension 19,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,-0.0968536436557769,-0.1320123970508575,-0.0351587533950805,-0.0612547993659973,-0.0602204576134681,0.0010343417525291,-0.0361930951476097,-0.0485285781323909,-0.0682363808155059,-0.019707802683115,-0.0154509507119655,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_020,Embedding dimension 20,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.2628269791603088,0.7256828546524048,0.4628558754920959,0.0701727420091629,0.355231761932373,0.2850590348243713,0.1777968406677246,0.0843044817447662,0.2254810482263565,0.1411765664815902,0.3216792941093445,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_021,Embedding dimension 21,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.3132860362529754,0.3713473677635193,0.0580613315105438,0.3704660832881927,0.4096638560295105,0.0391977727413177,0.018863558769226,0.3874193429946899,0.4057396948337555,0.0183203518390655,0.0397409796714782,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_022,Embedding dimension 22,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.7174384593963623,0.803267776966095,0.0858293175697326,0.6660728454589844,0.7219235897064209,0.0558507442474365,0.0299785733222961,0.6504572033882141,0.7151719927787781,0.0647147893905639,0.0211145281791687,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_023,Embedding dimension 23,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.2887521982192993,0.2876153290271759,-0.0011368691921234,0.3402504324913025,0.264110267162323,-0.0761401653289794,0.075003296136856,0.3423542380332947,0.2335023283958435,-0.1088519096374511,0.1077150404453277,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_024,Embedding dimension 24,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.0365451797842979,-0.039039459079504,-0.0755846351385116,-0.0560325384140014,-0.1712598353624344,-0.1152272969484329,0.0396426618099212,-0.0703476071357727,-0.1797823011875152,-0.1094346940517425,0.0338500589132308,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_025,Embedding dimension 25,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.3044638037681579,0.3788264691829681,0.0743626654148101,0.1968433260917663,0.3540743887424469,0.1572310626506805,-0.0828683972358703,0.2086910605430603,0.3645217716693878,0.1558307111263275,-0.0814680457115173,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_026,Embedding dimension 26,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.0121408877894282,-0.0883103981614112,-0.1004512831568718,-0.0019756041001528,-0.0719421878457069,-0.069966584444046,-0.0304846987128257,0.0044645639136433,-0.0496999584138393,-0.0541645213961601,-0.0462867617607116,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_027,Embedding dimension 27,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.0570574775338172,0.1789159178733825,0.1218584403395652,0.1153508424758911,0.2486171722412109,0.1332663297653198,-0.0114078894257545,0.1117198318243026,0.2553374469280243,0.1436176151037216,-0.0217591747641563,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_028,Embedding dimension 28,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,-0.365015834569931,-0.2601204216480255,0.1048954129219055,-0.3294930160045624,-0.3140263855457306,0.0154666304588317,0.0894287824630737,-0.3383904993534088,-0.3188514709472656,0.0195390284061431,0.0853563845157623,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_029,Embedding dimension 29,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,-0.1125105395913124,-0.1745405197143554,-0.062029980123043,-0.0443791523575782,-0.1413014233112335,-0.0969222709536552,0.0348922908306121,-0.04580994322896,-0.1509788185358047,-0.105168879032135,0.0431388989090919,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_030,Embedding dimension 30,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.2476033270359039,0.3376694917678833,0.0900661647319793,0.2817952334880829,0.3669503629207611,0.0851551294326782,0.0049110352993011,0.2953713238239288,0.359024703502655,0.0636533796787262,0.0264127850532531,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_031,Embedding dimension 31,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,-0.5970902442932129,-0.5521914958953857,0.0448987483978271,-0.6228271722793579,-0.5423628687858582,0.0804643034934997,-0.0355655550956726,-0.5921117067337036,-0.5541419982910156,0.0379697084426879,0.0069290399551391,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_032,Embedding dimension 32,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.1480496674776077,0.1246984228491783,-0.0233512446284294,0.0065281139686703,0.1590273827314376,0.1524992734193802,-0.175850510597229,0.0163715910166502,0.1575725078582763,0.141200914978981,-0.1645521521568298,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_033,Embedding dimension 33,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.04551962018013,-0.038700096309185,-0.084219716489315,0.0634770914912223,0.0398479774594306,-0.0236291140317916,-0.0605906024575233,0.0507644787430763,0.0911613255739212,0.0403968468308448,-0.1246165633201599,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_034,Embedding dimension 34,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.0113129345700144,0.0313355103135108,0.0200225748121738,-0.0256815217435359,0.0669045150279998,0.0925860404968261,-0.0725634694099426,-0.026841789484024,0.0526048839092254,0.0794466733932495,-0.0594240985810756,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_035,Embedding dimension 35,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,-0.195800706744194,-0.1555460542440414,0.0402546525001525,-0.1180508136749267,-0.1833707988262176,-0.0653199851512909,0.1055746376514434,-0.1010576784610748,-0.1675835698843002,-0.0665258914232254,0.1067805439233779,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_036,Embedding dimension 36,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,-0.1262203902006149,-0.3393726646900177,-0.2131522744894027,-0.1689510494470596,-0.3261727690696716,-0.157221719622612,-0.0559305548667907,-0.1565436124801635,-0.2877224087715149,-0.1311787962913513,-0.0819734781980514,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_037,Embedding dimension 37,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.244620531797409,0.3463650941848755,0.1017445623874664,0.2459999620914459,0.3243811726570129,0.078381210565567,0.0233633518218994,0.2415215969085693,0.3473650813102722,0.1058434844017028,-0.0040989220142364,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_038,Embedding dimension 38,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,1.194170355796814,1.1257097721099854,-0.0684605836868286,1.357561111450195,1.249712347984314,-0.1078487634658813,0.0393881797790527,1.38433837890625,1.2165157794952393,-0.1678225994110107,0.0993620157241821,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_039,Embedding dimension 39,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,-0.2787117660045624,-0.2705049514770508,0.0082068145275115,-0.2649287581443786,-0.3269124627113342,-0.0619837045669555,0.0701905190944671,-0.2933934926986694,-0.3255497813224792,-0.0321562886238098,0.0403631031513214,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_040,Embedding dimension 40,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,-0.61783367395401,-0.5901570916175842,0.0276765823364257,-0.6096323132514954,-0.601237416267395,0.0083948969841003,0.0192816853523254,-0.5776856541633606,-0.6032505035400391,-0.0255648493766784,0.0532414317131042,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_041,Embedding dimension 41,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.2288412302732467,0.3578068017959595,0.1289655715227127,0.2390772849321365,0.2576797604560852,0.0186024755239486,0.110363095998764,0.2225106358528137,0.2947064638137817,0.072195827960968,0.0567697435617446,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_042,Embedding dimension 42,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,-0.1864450722932815,-0.2341570109128952,-0.0477119386196136,-0.1546654403209686,-0.2650246024131775,-0.1103591620922088,0.0626472234725952,-0.1700176000595092,-0.293700635433197,-0.1236830353736877,0.0759710967540741,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_043,Embedding dimension 43,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,-0.4702510833740234,-0.5523995757102966,-0.0821484923362732,-0.42575803399086,-0.5178848505020142,-0.0921268165111541,0.0099783241748809,-0.4075974822044372,-0.5405769944190979,-0.1329795122146606,0.0508310198783874,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_044,Embedding dimension 44,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.1767546534538269,0.1739826500415802,-0.0027720034122467,0.0666964277625083,0.0458734780550003,-0.020822949707508,0.0180509462952613,0.0529917664825916,0.0561497434973716,0.00315797701478,-0.0059299804270267,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_045,Embedding dimension 45,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.3916435539722442,0.2179880291223526,-0.1736555248498916,0.3644683957099914,0.3515870273113251,-0.0128813683986663,-0.1607741564512252,0.3627160787582397,0.3742879629135132,0.0115718841552734,-0.1852274090051651,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_046,Embedding dimension 46,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.2417933791875839,0.2284195572137832,-0.0133738219738006,0.2118139266967773,0.1848702281713485,-0.0269436985254287,0.0135698765516281,0.2144683748483657,0.1768126487731933,-0.0376557260751724,0.0242819041013717,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_047,Embedding dimension 47,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.8065091967582703,0.8218841552734375,0.0153749585151672,0.6614545583724976,0.7484421730041504,0.0869876146316528,-0.0716126561164856,0.6280309557914734,0.7463247776031494,0.118293821811676,-0.1029188632965087,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_048,Embedding dimension 48,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.2241970300674438,0.2251531928777694,0.0009561628103256,0.0783939212560653,0.1546212434768676,0.0762273222208023,-0.0752711594104766,0.0559600107371807,0.1547028571367263,0.0987428426742553,-0.0977866798639297,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_049,Embedding dimension 49,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.162566140294075,0.1089999303221702,-0.0535662099719047,0.2275607138872146,0.1736175715923309,-0.0539431422948837,0.0003769323229789,0.2081329375505447,0.1473521888256073,-0.0607807487249374,0.0072145387530326,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_050,Embedding dimension 50,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.0087907714769244,-0.1747594177722931,-0.1835501939058303,-0.0590658001601696,-0.2204727679491043,-0.1614069640636444,-0.0221432298421859,-0.0415303334593772,-0.2242560684680938,-0.182725727558136,-0.0008244663476943,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_051,Embedding dimension 51,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.367892861366272,0.3303439915180206,-0.0375488698482513,0.3757773041725158,0.3837815523147583,0.0080042481422424,-0.0455531179904937,0.3871375322341919,0.3635647594928741,-0.0235727727413177,-0.0139760971069335,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_052,Embedding dimension 52,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.3940663635730743,0.3350061476230621,-0.0590602159500122,0.3982869684696197,0.2709366381168365,-0.1273503303527832,0.068290114402771,0.4052935242652893,0.2715566754341125,-0.1337368488311767,0.0746766328811645,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_053,Embedding dimension 53,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,-0.3239162564277649,-0.2454571425914764,0.0784591138362884,-0.2641621828079223,-0.2374082803726196,0.0267539024353027,0.0517052114009857,-0.2660362124443054,-0.244667574763298,0.0213686376810073,0.057090476155281,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_054,Embedding dimension 54,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.2201459854841232,0.2551668584346771,0.0350208729505538,0.2394647598266601,0.2095837295055389,-0.0298810303211212,0.0649019032716751,0.2366994321346283,0.2214271426200866,-0.0152722895145416,0.0502931624650955,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_055,Embedding dimension 55,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.3308975100517273,0.1832733750343322,-0.147624135017395,0.0458418875932693,0.0892173498868942,0.0433754622936248,-0.1909995973110199,0.0727581158280372,0.0907663851976394,0.0180082693696022,-0.1656323969364166,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_056,Embedding dimension 56,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.1351739466190338,0.0030968505889177,-0.1320770978927612,0.1790186464786529,0.0680181235074997,-0.1110005229711532,-0.0210765749216079,0.1914136260747909,0.0507670044898986,-0.1406466215848922,0.008569523692131,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_057,Embedding dimension 57,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.3906488418579101,0.3519734740257263,-0.0386753678321838,0.3933930397033691,0.3829176425933838,-0.0104753971099853,-0.0281999707221984,0.3935672342777252,0.4016216397285461,0.0080544054508209,-0.0467297732830047,1.0,1.0,1.0,1.0
treatment_0001,sentinel2,emb_058,Embedding dimension 58,Coordinate of a learned 768-d image embedding (sentinel1: CROMA SAR_GAP; sentinel2: TerraMind S2L2A mean-pooled tokens); individual dimensions have no standalone physical meaning.,10,0.5267212390899658,0.4217151701450348,-0.105006068944931,0.559745192527771,0.4869197309017181,-0.0728254616260528,-0.0321806073188781,0.5345281362533569,0.4827612936496734,-0.0517668426036834,-0.0532392263412475,1.0,1.0,1.0,1.0
